period,revenue,expenses,assets,liabilities,equity,inventory,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_profit
2024-01,100000,70000,500000,200000,300000,50000,25000,-10000,5000,20000
2024-02,105000,73000,510000,205000,305000,52000,26000,-9000,4000,21000
2024-03,98000,75000,505000,210000,295000,55000,22000,-11000,6000,18000
2024-04,110000,76000,520000,215000,305000,58000,28000,-12000,5000,24000
2024-05,115000,80000,540000,220000,320000,60000,30000,-10000,4000,25000
2024-06,120000,82000,560000,230000,330000,62000,32000,-15000,7000,28000
2024-07,118000,81000,555000,225000,330000,63000,31000,-8000,5000,27000
2024-08,125000,84000,575000,235000,340000,65000,34000,-12000,6000,29000
2024-09,130000,86000,590000,240000,350000,68000,36000,-10000,7000,30000
2024-10,128000,85000,585000,238000,347000,67000,35000,-9000,4000,29000
2024-11,135000,88000,605000,245000,360000,70000,38000,-11000,5000,32000
2024-12,140000,90000,620000,250000,370000,72000,40000,-13000,8000,34000
